,sold,date,region
0,"$1,638.00",2018-02-06,north
1,"$1,647.00",2018-02-06,south
2,"$1,731.00",2018-02-06,east
3,"$1,557.00",2018-02-06,west
4,"$1,587.00",2018-02-07,north
5,"$1,698.00",2018-02-07,south
6,"$1,542.00",2018-02-07,east
7,"$1,635.00",2018-02-07,west
8,"$1,602.00",2018-02-08,north
9,"$1,536.00",2018-02-08,south
10,"$1,503.00",2018-02-08,east
11,"$1,701.00",2018-02-08,west
12,"$1,758.00",2018-02-09,north
13,"$1,662.00",2018-02-09,south
14,"$1,782.00",2018-02-09,east
15,"$1,515.00",2018-02-09,west
16,"$1,662.00",2018-02-10,north
17,"$1,557.00",2018-02-10,south
18,"$1,650.00",2018-02-10,east
19,"$1,674.00",2018-02-10,west
20,"$1,554.00",2018-02-11,north
21,"$1,587.00",2018-02-11,south
22,"$1,563.00",2018-02-11,east
23,"$1,764.00",2018-02-11,west
24,"$1,758.00",2018-02-12,north
25,"$1,608.00",2018-02-12,south
26,"$1,569.00",2018-02-12,east
27,"$1,653.00",2018-02-12,west
28,"$1,572.00",2018-02-13,north
29,"$1,716.00",2018-02-13,south
30,"$1,773.00",2018-02-13,east
31,"$1,725.00",2018-02-13,west
32,"$1,767.00",2018-02-14,north
33,"$1,710.00",2018-02-14,south
34,"$1,698.00",2018-02-14,east
35,"$1,512.00",2018-02-14,west
36,"$1,746.00",2018-02-15,north
37,"$1,734.00",2018-02-15,south
38,"$1,524.00",2018-02-15,east
39,"$1,614.00",2018-02-15,west
40,"$1,578.00",2018-02-16,north
41,"$1,782.00",2018-02-16,south
42,"$1,527.00",2018-02-16,east
43,"$1,752.00",2018-02-16,west
44,"$1,785.00",2018-02-17,north
45,"$1,689.00",2018-02-17,south
46,"$1,641.00",2018-02-17,east
47,"$1,575.00",2018-02-17,west
48,"$1,644.00",2018-02-18,north
49,"$1,674.00",2018-02-18,south
50,"$1,551.00",2018-02-18,east
51,"$1,737.00",2018-02-18,west
52,"$1,563.00",2018-02-19,north
53,"$1,647.00",2018-02-19,south
54,"$1,605.00",2018-02-19,east
55,"$1,539.00",2018-02-19,west
56,"$1,698.00",2018-02-20,north
57,"$1,575.00",2018-02-20,south
58,"$1,500.00",2018-02-20,east
59,"$1,551.00",2018-02-20,west
60,"$1,737.00",2018-02-21,north
61,"$1,542.00",2018-02-21,south
62,"$1,665.00",2018-02-21,east
63,"$1,548.00",2018-02-21,west
64,"$1,635.00",2018-02-22,north
65,"$1,632.00",2018-02-22,south
66,"$1,668.00",2018-02-22,east
67,"$1,764.00",2018-02-22,west
68,"$1,533.00",2018-02-23,north
69,"$1,563.00",2018-02-23,south
70,"$1,641.00",2018-02-23,east
71,"$1,773.00",2018-02-23,west
72,"$1,629.00",2018-02-24,north
73,"$1,698.00",2018-02-24,south
74,"$1,725.00",2018-02-24,east
75,"$1,722.00",2018-02-24,west
76,"$1,596.00",2018-02-25,north
77,"$1,710.00",2018-02-25,south
78,"$1,635.00",2018-02-25,east
79,"$1,659.00",2018-02-25,west
80,"$1,686.00",2018-02-26,north
81,"$1,533.00",2018-02-26,south
82,"$1,524.00",2018-02-26,east
83,"$1,530.00",2018-02-26,west
84,"$1,665.00",2018-02-27,north
85,"$1,695.00",2018-02-27,south
86,"$1,578.00",2018-02-27,east
87,"$1,620.00",2018-02-27,west
88,"$1,767.00",2018-02-28,north
89,"$1,593.00",2018-02-28,south
90,"$1,743.00",2018-02-28,east
91,"$1,557.00",2018-02-28,west
92,"$1,668.00",2018-03-01,north
93,"$1,782.00",2018-03-01,south
94,"$1,527.00",2018-03-01,east
95,"$1,668.00",2018-03-01,west
96,"$1,635.00",2018-03-02,north
97,"$1,569.00",2018-03-02,south
98,"$1,746.00",2018-03-02,east
99,"$1,773.00",2018-03-02,west
100,"$1,539.00",2018-03-03,north
101,"$1,500.00",2018-03-03,south
102,"$1,569.00",2018-03-03,east
103,"$1,557.00",2018-03-03,west
104,"$1,773.00",2018-03-04,north
105,"$1,644.00",2018-03-04,south
106,"$1,614.00",2018-03-04,east
107,"$1,674.00",2018-03-04,west
108,"$1,533.00",2018-03-05,north
109,"$1,653.00",2018-03-05,south
110,"$1,557.00",2018-03-05,east
111,"$1,746.00",2018-03-05,west
112,"$1,719.00",2018-03-06,north
113,"$1,719.00",2018-03-06,south
114,"$1,659.00",2018-03-06,east
115,"$1,800.00",2018-03-06,west
116,"$1,581.00",2018-03-07,north
117,"$1,602.00",2018-03-07,south
118,"$1,608.00",2018-03-07,east
119,"$1,650.00",2018-03-07,west
120,"$1,611.00",2018-03-08,north
121,"$1,530.00",2018-03-08,south
122,"$1,698.00",2018-03-08,east
123,"$1,668.00",2018-03-08,west
124,"$1,746.00",2018-03-09,north
125,"$1,524.00",2018-03-09,south
126,"$1,506.00",2018-03-09,east
127,"$1,704.00",2018-03-09,west
128,"$1,788.00",2018-03-10,north
129,"$1,719.00",2018-03-10,south
130,"$1,746.00",2018-03-10,east
131,"$1,584.00",2018-03-10,west
132,"$1,692.00",2018-03-11,north
133,"$1,635.00",2018-03-11,south
134,"$1,608.00",2018-03-11,east
135,"$1,590.00",2018-03-11,west
136,"$1,599.00",2018-03-12,north
137,"$1,518.00",2018-03-12,south
138,"$1,602.00",2018-03-12,east
139,"$1,659.00",2018-03-12,west
140,"$1,644.00",2018-03-13,north
141,"$1,611.00",2018-03-13,south
142,"$1,554.00",2018-03-13,east
143,"$1,515.00",2018-03-13,west
144,"$1,515.00",2018-03-14,north
145,"$1,632.00",2018-03-14,south
146,"$1,512.00",2018-03-14,east
147,"$1,776.00",2018-03-14,west
148,"$1,677.00",2018-03-15,north
149,"$1,503.00",2018-03-15,south
150,"$1,605.00",2018-03-15,east
151,"$1,647.00",2018-03-15,west
152,"$1,506.00",2018-03-16,north
153,"$1,737.00",2018-03-16,south
154,"$1,590.00",2018-03-16,east
155,"$1,767.00",2018-03-16,west
156,"$1,593.00",2018-03-17,north
157,"$1,614.00",2018-03-17,south
158,"$1,710.00",2018-03-17,east
159,"$1,662.00",2018-03-17,west
160,"$1,650.00",2018-03-18,north
161,"$1,755.00",2018-03-18,south
162,"$1,698.00",2018-03-18,east
163,"$1,659.00",2018-03-18,west
164,"$1,683.00",2018-03-19,north
165,"$1,509.00",2018-03-19,south
166,"$1,500.00",2018-03-19,east
167,"$1,545.00",2018-03-19,west
168,"$1,647.00",2018-03-20,north
169,"$1,614.00",2018-03-20,south
170,"$1,629.00",2018-03-20,east
171,"$1,677.00",2018-03-20,west
172,"$1,743.00",2018-03-21,north
173,"$1,569.00",2018-03-21,south
174,"$1,593.00",2018-03-21,east
175,"$1,578.00",2018-03-21,west
176,"$1,578.00",2018-03-22,north
177,"$1,581.00",2018-03-22,south
178,"$1,653.00",2018-03-22,east
179,"$1,578.00",2018-03-22,west
180,"$1,761.00",2018-03-23,north
181,"$1,611.00",2018-03-23,south
182,"$1,749.00",2018-03-23,east
183,"$1,764.00",2018-03-23,west
184,"$1,716.00",2018-03-24,north
185,"$1,710.00",2018-03-24,south
186,"$1,800.00",2018-03-24,east
187,"$1,728.00",2018-03-24,west
188,"$1,743.00",2018-03-25,north
189,"$1,764.00",2018-03-25,south
190,"$1,740.00",2018-03-25,east
191,"$1,707.00",2018-03-25,west
192,"$1,509.00",2018-03-26,north
193,"$1,641.00",2018-03-26,south
194,"$1,533.00",2018-03-26,east
195,"$1,752.00",2018-03-26,west
196,"$1,767.00",2018-03-27,north
197,"$1,590.00",2018-03-27,south
198,"$1,533.00",2018-03-27,east
199,"$1,704.00",2018-03-27,west
200,"$1,671.00",2018-03-28,north
201,"$1,527.00",2018-03-28,south
202,"$1,524.00",2018-03-28,east
203,"$1,629.00",2018-03-28,west
204,"$1,722.00",2018-03-29,north
205,"$1,557.00",2018-03-29,south
206,"$1,686.00",2018-03-29,east
207,"$1,779.00",2018-03-29,west
208,"$1,734.00",2018-03-30,north
209,"$1,776.00",2018-03-30,south
210,"$1,554.00",2018-03-30,east
211,"$1,725.00",2018-03-30,west
212,"$1,617.00",2018-03-31,north
213,"$1,635.00",2018-03-31,south
214,"$1,605.00",2018-03-31,east
215,"$1,785.00",2018-03-31,west
216,"$1,761.00",2018-04-01,north
217,"$1,530.00",2018-04-01,south
218,"$1,710.00",2018-04-01,east
219,"$1,506.00",2018-04-01,west
220,"$1,509.00",2018-04-02,north
221,"$1,797.00",2018-04-02,south
222,"$1,662.00",2018-04-02,east
223,"$1,530.00",2018-04-02,west
224,"$1,767.00",2018-04-03,north
225,"$1,767.00",2018-04-03,south
226,"$1,614.00",2018-04-03,east
227,"$1,533.00",2018-04-03,west
228,"$1,767.00",2018-04-04,north
229,"$1,761.00",2018-04-04,south
230,"$1,566.00",2018-04-04,east
231,"$1,623.00",2018-04-04,west
232,"$1,506.00",2018-04-05,north
233,"$1,512.00",2018-04-05,south
234,"$1,692.00",2018-04-05,east
235,"$1,749.00",2018-04-05,west
236,"$1,701.00",2018-04-06,north
237,"$1,752.00",2018-04-06,south
238,"$1,632.00",2018-04-06,east
239,"$1,515.00",2018-04-06,west
240,"$1,725.00",2018-04-07,north
241,"$1,611.00",2018-04-07,south
242,"$1,788.00",2018-04-07,east
243,"$1,617.00",2018-04-07,west
244,"$1,656.00",2018-04-08,north
245,"$1,674.00",2018-04-08,south
246,"$1,557.00",2018-04-08,east
247,"$1,701.00",2018-04-08,west
248,"$1,686.00",2018-04-09,north
249,"$1,782.00",2018-04-09,south
250,"$1,641.00",2018-04-09,east
251,"$1,557.00",2018-04-09,west
252,"$1,686.00",2018-04-10,north
253,"$1,527.00",2018-04-10,south
254,"$1,698.00",2018-04-10,east
255,"$1,728.00",2018-04-10,west
256,"$1,671.00",2018-04-11,north
257,"$1,527.00",2018-04-11,south
258,"$1,581.00",2018-04-11,east
259,"$1,764.00",2018-04-11,west
260,"$1,653.00",2018-04-12,north
261,"$1,626.00",2018-04-12,south
262,"$1,782.00",2018-04-12,east
263,"$1,749.00",2018-04-12,west
264,"$1,539.00",2018-04-13,north
265,"$1,752.00",2018-04-13,south
266,"$1,674.00",2018-04-13,east
267,"$1,749.00",2018-04-13,west
268,"$1,569.00",2018-04-14,north
269,"$1,794.00",2018-04-14,south
270,"$1,674.00",2018-04-14,east
271,"$1,638.00",2018-04-14,west
272,"$1,515.00",2018-04-15,north
273,"$1,527.00",2018-04-15,south
274,"$1,602.00",2018-04-15,east
275,"$1,653.00",2018-04-15,west
276,"$1,602.00",2018-04-16,north
277,"$1,707.00",2018-04-16,south
278,"$1,548.00",2018-04-16,east
279,"$1,527.00",2018-04-16,west
280,"$1,599.00",2018-04-17,north
281,"$1,728.00",2018-04-17,south
282,"$1,704.00",2018-04-17,east
283,"$1,539.00",2018-04-17,west
284,"$1,545.00",2018-04-18,north
285,"$1,797.00",2018-04-18,south
286,"$1,515.00",2018-04-18,east
287,"$1,719.00",2018-04-18,west
288,"$1,713.00",2018-04-19,north
289,"$1,674.00",2018-04-19,south
290,"$1,767.00",2018-04-19,east
291,"$1,767.00",2018-04-19,west
292,"$1,668.00",2018-04-20,north
293,"$1,620.00",2018-04-20,south
294,"$1,677.00",2018-04-20,east
295,"$1,509.00",2018-04-20,west
296,"$1,683.00",2018-04-21,north
297,"$1,743.00",2018-04-21,south
298,"$1,644.00",2018-04-21,east
299,"$1,578.00",2018-04-21,west
300,"$1,572.00",2018-04-22,north
301,"$1,545.00",2018-04-22,south
302,"$1,557.00",2018-04-22,east
303,"$1,626.00",2018-04-22,west
304,"$1,710.00",2018-04-23,north
305,"$1,659.00",2018-04-23,south
306,"$1,665.00",2018-04-23,east
307,"$1,521.00",2018-04-23,west
308,"$1,503.00",2018-04-24,north
309,"$1,650.00",2018-04-24,south
310,"$1,689.00",2018-04-24,east
311,"$1,743.00",2018-04-24,west
312,"$1,623.00",2018-04-25,north
313,"$1,503.00",2018-04-25,south
314,"$1,758.00",2018-04-25,east
315,"$1,557.00",2018-04-25,west
316,"$1,713.00",2018-04-26,north
317,"$1,734.00",2018-04-26,south
318,"$1,740.00",2018-04-26,east
319,"$1,563.00",2018-04-26,west
320,"$1,716.00",2018-04-27,north
321,"$1,791.00",2018-04-27,south
322,"$1,674.00",2018-04-27,east
323,"$1,716.00",2018-04-27,west
324,"$1,632.00",2018-04-28,north
325,"$1,641.00",2018-04-28,south
326,"$1,584.00",2018-04-28,east
327,"$1,590.00",2018-04-28,west
328,"$1,713.00",2018-04-29,north
329,"$1,593.00",2018-04-29,south
330,"$1,740.00",2018-04-29,east
331,"$1,638.00",2018-04-29,west
332,"$1,653.00",2018-04-30,north
333,"$1,590.00",2018-04-30,south
334,"$1,593.00",2018-04-30,east
335,"$1,602.00",2018-04-30,west
336,"$1,785.00",2018-05-01,north
337,"$1,764.00",2018-05-01,south
338,"$1,506.00",2018-05-01,east
339,"$1,536.00",2018-05-01,west
340,"$1,623.00",2018-05-02,north
341,"$1,674.00",2018-05-02,south
342,"$1,791.00",2018-05-02,east
343,"$1,653.00",2018-05-02,west
344,"$1,785.00",2018-05-03,north
345,"$1,569.00",2018-05-03,south
346,"$1,500.00",2018-05-03,east
347,"$1,770.00",2018-05-03,west
348,"$1,653.00",2018-05-04,north
349,"$1,590.00",2018-05-04,south
350,"$1,671.00",2018-05-04,east
351,"$1,629.00",2018-05-04,west
352,"$1,578.00",2018-05-05,north
353,"$1,665.00",2018-05-05,south
354,"$1,575.00",2018-05-05,east
355,"$1,587.00",2018-05-05,west
356,"$1,674.00",2018-05-06,north
357,"$1,785.00",2018-05-06,south
358,"$1,719.00",2018-05-06,east
359,"$1,617.00",2018-05-06,west
360,"$1,794.00",2018-05-07,north
361,"$1,563.00",2018-05-07,south
362,"$1,728.00",2018-05-07,east
363,"$1,740.00",2018-05-07,west
364,"$1,617.00",2018-05-08,north
365,"$1,650.00",2018-05-08,south
366,"$1,728.00",2018-05-08,east
367,"$1,635.00",2018-05-08,west
368,"$1,584.00",2018-05-09,north
369,"$1,647.00",2018-05-09,south
370,"$1,551.00",2018-05-09,east
371,"$1,512.00",2018-05-09,west
372,"$1,737.00",2018-05-10,north
373,"$1,551.00",2018-05-10,south
374,"$1,515.00",2018-05-10,east
375,"$1,716.00",2018-05-10,west
376,"$1,746.00",2018-05-11,north
377,"$1,677.00",2018-05-11,south
378,"$1,584.00",2018-05-11,east
379,"$1,617.00",2018-05-11,west
380,"$1,743.00",2018-05-12,north
381,"$1,533.00",2018-05-12,south
382,"$1,521.00",2018-05-12,east
383,"$1,578.00",2018-05-12,west
384,"$1,545.00",2018-05-13,north
385,"$1,713.00",2018-05-13,south
386,"$1,665.00",2018-05-13,east
387,"$1,644.00",2018-05-13,west
388,"$1,776.00",2018-05-14,north
389,"$1,560.00",2018-05-14,south
390,"$1,644.00",2018-05-14,east
391,"$1,503.00",2018-05-14,west
392,"$1,800.00",2018-05-15,north
393,"$1,758.00",2018-05-15,south
394,"$1,701.00",2018-05-15,east
395,"$1,671.00",2018-05-15,west
396,"$1,593.00",2018-05-16,north
397,"$1,617.00",2018-05-16,south
398,"$1,626.00",2018-05-16,east
399,"$1,629.00",2018-05-16,west
400,"$1,728.00",2018-05-17,north
401,"$1,506.00",2018-05-17,south
402,"$1,590.00",2018-05-17,east
403,"$1,626.00",2018-05-17,west
404,"$1,782.00",2018-05-18,north
405,"$1,572.00",2018-05-18,south
406,"$1,539.00",2018-05-18,east
407,"$1,509.00",2018-05-18,west
408,"$1,788.00",2018-05-19,north
409,"$1,713.00",2018-05-19,south
410,"$1,626.00",2018-05-19,east
411,"$1,629.00",2018-05-19,west
412,"$1,548.00",2018-05-20,north
413,"$1,716.00",2018-05-20,south
414,"$1,752.00",2018-05-20,east
415,"$1,638.00",2018-05-20,west
416,"$1,575.00",2018-05-21,north
417,"$1,671.00",2018-05-21,south
418,"$1,626.00",2018-05-21,east
419,"$1,572.00",2018-05-21,west
420,"$1,572.00",2018-05-22,north
