,sold,date,region
0,"$1,578.00",2020-10-13,north
1,"$1,638.00",2020-10-13,south
2,"$1,515.00",2020-10-13,east
3,"$1,683.00",2020-10-13,west
4,"$1,680.00",2020-10-14,north
5,"$1,755.00",2020-10-14,south
6,"$1,584.00",2020-10-14,east
7,"$1,590.00",2020-10-14,west
8,"$1,518.00",2020-10-15,north
9,"$1,701.00",2020-10-15,south
10,"$1,716.00",2020-10-15,east
11,"$1,563.00",2020-10-15,west
12,"$1,638.00",2020-10-16,north
13,"$1,689.00",2020-10-16,south
14,"$1,515.00",2020-10-16,east
15,"$1,632.00",2020-10-16,west
16,"$1,509.00",2020-10-17,north
17,"$1,791.00",2020-10-17,south
18,"$1,509.00",2020-10-17,east
19,"$1,776.00",2020-10-17,west
20,"$1,524.00",2020-10-18,north
21,"$1,716.00",2020-10-18,south
22,"$1,578.00",2020-10-18,east
23,"$1,713.00",2020-10-18,west
24,"$1,656.00",2020-10-19,north
25,"$1,725.00",2020-10-19,south
26,"$1,554.00",2020-10-19,east
27,"$1,524.00",2020-10-19,west
28,"$1,569.00",2020-10-20,north
29,"$1,758.00",2020-10-20,south
30,"$1,758.00",2020-10-20,east
31,"$1,614.00",2020-10-20,west
32,"$1,740.00",2020-10-21,north
33,"$1,521.00",2020-10-21,south
34,"$1,722.00",2020-10-21,east
35,"$1,605.00",2020-10-21,west
36,"$1,749.00",2020-10-22,north
37,"$1,638.00",2020-10-22,south
38,"$1,710.00",2020-10-22,east
39,"$1,668.00",2020-10-22,west
40,"$1,635.00",2020-10-23,north
41,"$1,533.00",2020-10-23,south
42,"$1,635.00",2020-10-23,east
43,"$1,575.00",2020-10-23,west
44,"$1,737.00",2020-10-24,north
45,"$1,593.00",2020-10-24,south
46,"$1,707.00",2020-10-24,east
47,"$1,536.00",2020-10-24,west
48,"$1,689.00",2020-10-25,north
49,"$1,680.00",2020-10-25,south
50,"$1,605.00",2020-10-25,east
51,"$1,617.00",2020-10-25,west
52,"$1,746.00",2020-10-26,north
53,"$1,518.00",2020-10-26,south
54,"$1,656.00",2020-10-26,east
55,"$1,542.00",2020-10-26,west
56,"$1,581.00",2020-10-27,north
57,"$1,716.00",2020-10-27,south
58,"$1,683.00",2020-10-27,east
59,"$1,518.00",2020-10-27,west
60,"$1,746.00",2020-10-28,north
61,"$1,587.00",2020-10-28,south
62,"$1,644.00",2020-10-28,east
63,"$1,731.00",2020-10-28,west
64,"$1,770.00",2020-10-29,north
65,"$1,692.00",2020-10-29,south
66,"$1,557.00",2020-10-29,east
67,"$1,524.00",2020-10-29,west
68,"$1,773.00",2020-10-30,north
69,"$1,689.00",2020-10-30,south
70,"$1,776.00",2020-10-30,east
71,"$1,686.00",2020-10-30,west
72,"$1,581.00",2020-10-31,north
73,"$1,758.00",2020-10-31,south
74,"$1,755.00",2020-10-31,east
75,"$1,668.00",2020-10-31,west
76,"$1,665.00",2020-11-01,north
77,"$1,551.00",2020-11-01,south
78,"$1,770.00",2020-11-01,east
79,"$1,593.00",2020-11-01,west
80,"$1,734.00",2020-11-02,north
81,"$1,500.00",2020-11-02,south
82,"$1,740.00",2020-11-02,east
83,"$1,686.00",2020-11-02,west
84,"$1,551.00",2020-11-03,north
85,"$1,752.00",2020-11-03,south
86,"$1,746.00",2020-11-03,east
87,"$1,581.00",2020-11-03,west
88,"$1,773.00",2020-11-04,north
89,"$1,788.00",2020-11-04,south
